api_parsing | 2025-02-28 21:40:31 | ERROR | Серверная ошибка 500 для категории eye-treatment-dark-circle-treatment, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:31 | WARNING | Не удалось получить продукты для категории Eye Care.
api_parsing | 2025-02-28 21:40:31 | INFO | Обрабатываем категорию: Eye Creams & Treatments (ID: eye-cream-dark-circles)
api_parsing | 2025-02-28 21:40:32 | ERROR | Серверная ошибка 500 для категории eye-cream-dark-circles, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:32 | WARNING | Не удалось получить продукты для категории Eye Creams & Treatments.
api_parsing | 2025-02-28 21:40:32 | INFO | Обрабатываем категорию: Lip Balms & Treatments (ID: lip-balm-lip-care)
api_parsing | 2025-02-28 21:40:32 | ERROR | Серверная ошибка 500 для категории lip-balm-lip-care, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:32 | WARNING | Не удалось получить продукты для категории Lip Balms & Treatments.
api_parsing | 2025-02-28 21:40:32 | INFO | Обрабатываем категорию: Sunscreen (ID: sunscreen-sun-protection)
api_parsing | 2025-02-28 21:40:33 | ERROR | Серверная ошибка 500 для категории sunscreen-sun-protection, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:33 | WARNING | Не удалось получить продукты для категории Sunscreen.
api_parsing | 2025-02-28 21:40:33 | INFO | Обрабатываем категорию: Face Sunscreen (ID: face-sunscreen)
api_parsing | 2025-02-28 21:40:34 | ERROR | Серверная ошибка 500 для категории face-sunscreen, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:34 | WARNING | Не удалось получить продукты для категории Face Sunscreen.
api_parsing | 2025-02-28 21:40:34 | INFO | Обрабатываем категорию: Body Sunscreen (ID: sunscreen)
api_parsing | 2025-02-28 21:40:34 | ERROR | Серверная ошибка 500 для категории sunscreen, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:34 | WARNING | Не удалось получить продукты для категории Body Sunscreen.
api_parsing | 2025-02-28 21:40:34 | INFO | Обрабатываем категорию: High Tech Tools (ID: skin-care-tools)
api_parsing | 2025-02-28 21:40:35 | ERROR | Серверная ошибка 500 для категории skin-care-tools, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:35 | WARNING | Не удалось получить продукты для категории High Tech Tools.
api_parsing | 2025-02-28 21:40:35 | INFO | Обрабатываем категорию: Wellness (ID: wellness-skincare)
api_parsing | 2025-02-28 21:40:36 | ERROR | Серверная ошибка 500 для категории wellness-skincare, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:36 | WARNING | Не удалось получить продукты для категории Wellness.
api_parsing | 2025-02-28 21:40:36 | INFO | Обрабатываем категорию: Supplements (ID: vitamins-for-hair-skin-nails)
api_parsing | 2025-02-28 21:40:38 | ERROR | Серверная ошибка 500 для категории vitamins-for-hair-skin-nails, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:38 | WARNING | Не удалось получить продукты для категории Supplements.
api_parsing | 2025-02-28 21:40:38 | INFO | Обрабатываем категорию: Feminine Care (ID: feminine-care)
api_parsing | 2025-02-28 21:40:38 | ERROR | Серверная ошибка 500 для категории feminine-care, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:38 | WARNING | Не удалось получить продукты для категории Feminine Care.
api_parsing | 2025-02-28 21:40:38 | INFO | Обрабатываем категорию: Acne & Blemishes (ID: acne-treatment-blemish-remover)
api_parsing | 2025-02-28 21:40:39 | ERROR | Серверная ошибка 500 для категории acne-treatment-blemish-remover, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:39 | WARNING | Не удалось получить продукты для категории Acne & Blemishes.
api_parsing | 2025-02-28 21:40:39 | INFO | Обрабатываем категорию: Anti-Aging (ID: anti-aging-skin-care)
api_parsing | 2025-02-28 21:40:40 | ERROR | Серверная ошибка 500 для категории anti-aging-skin-care, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:40 | WARNING | Не удалось получить продукты для категории Anti-Aging.
api_parsing | 2025-02-28 21:40:40 | INFO | Обрабатываем категорию: Dark Spots (ID: dark-spot-remover)
api_parsing | 2025-02-28 21:40:41 | ERROR | Серверная ошибка 500 для категории dark-spot-remover, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:41 | WARNING | Не удалось получить продукты для категории Dark Spots.
api_parsing | 2025-02-28 21:40:41 | INFO | Обрабатываем категорию: Pores (ID: pore-minimizing-products)
api_parsing | 2025-02-28 21:40:41 | ERROR | Серверная ошибка 500 для категории pore-minimizing-products, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:41 | WARNING | Не удалось получить продукты для категории Pores.
api_parsing | 2025-02-28 21:40:41 | INFO | Обрабатываем категорию: Dryness (ID: dry-skin-treatment)
api_parsing | 2025-02-28 21:40:42 | ERROR | Серверная ошибка 500 для категории dry-skin-treatment, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:42 | WARNING | Не удалось получить продукты для категории Dryness.
api_parsing | 2025-02-28 21:40:42 | INFO | Обрабатываем категорию: Fine Lines & Wrinkles (ID: wrinkle-cream-wrinkle-remover)
api_parsing | 2025-02-28 21:40:43 | ERROR | Серверная ошибка 500 для категории wrinkle-cream-wrinkle-remover, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:43 | WARNING | Не удалось получить продукты для категории Fine Lines & Wrinkles.
api_parsing | 2025-02-28 21:40:43 | INFO | Обрабатываем категорию: Dullness (ID: skin-brighteners-dull-skin-treatments)
api_parsing | 2025-02-28 21:40:44 | ERROR | Серверная ошибка 500 для категории skin-brighteners-dull-skin-treatments, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:44 | WARNING | Не удалось получить продукты для категории Dullness.
api_parsing | 2025-02-28 21:40:44 | INFO | Обрабатываем категорию: Clean Skincare (ID: clean-skin-care)
api_parsing | 2025-02-28 21:40:44 | ERROR | Серверная ошибка 500 для категории clean-skin-care, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:44 | WARNING | Не удалось получить продукты для категории Clean Skincare.
api_parsing | 2025-02-28 21:40:44 | INFO | Обрабатываем категорию: Vegan Skincare (ID: vegan-skin-care)
api_parsing | 2025-02-28 21:40:45 | ERROR | Серверная ошибка 500 для категории vegan-skin-care, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:45 | WARNING | Не удалось получить продукты для категории Vegan Skincare.
api_parsing | 2025-02-28 21:40:45 | INFO | Обрабатываем категорию: Skincare Value & Gift Sets (ID: skin-care-sets-travel-value)
api_parsing | 2025-02-28 21:40:46 | ERROR | Серверная ошибка 500 для категории skin-care-sets-travel-value, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:46 | WARNING | Не удалось получить продукты для категории Skincare Value & Gift Sets.
api_parsing | 2025-02-28 21:40:46 | INFO | Обрабатываем категорию: Mini Size (ID: mini-skincare)
api_parsing | 2025-02-28 21:40:47 | ERROR | Серверная ошибка 500 для категории mini-skincare, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:47 | WARNING | Не удалось получить продукты для категории Mini Size.
api_parsing | 2025-02-28 21:40:47 | INFO | Обрабатываем категорию: FSA & HSA Eligible (ID: fsa-eligible-products)
api_parsing | 2025-02-28 21:40:47 | ERROR | Серверная ошибка 500 для категории fsa-eligible-products, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:47 | WARNING | Не удалось получить продукты для категории FSA & HSA Eligible.
api_parsing | 2025-02-28 21:40:47 | INFO | Обрабатываем категорию: All Hair (ID: hair-products)
api_parsing | 2025-02-28 21:40:48 | ERROR | Серверная ошибка 500 для категории hair-products, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:48 | WARNING | Не удалось получить продукты для категории All Hair.
api_parsing | 2025-02-28 21:40:48 | INFO | Обрабатываем категорию: Shampoo & Conditioner (ID: shampoo-sulfate-free-shampoo)
api_parsing | 2025-02-28 21:40:49 | ERROR | Серверная ошибка 500 для категории shampoo-sulfate-free-shampoo, стр. 1. Пропускаем категорию.
